k,p,mutation-rate,trials,k-init,weighted-init,probability,sim-time(seconds),mutations
250,1,0.2,10,false,true,0.757,0.0246477,0
250,1,0.2,10,false,true,0.746,0.0250633,0
250,1,0.2,10,false,true,0.74,0.0249272,0
250,1,0.2,10,false,true,0.73,0.0255318,0
250,1,0.2,10,false,true,0.729,0.0248291,0
250,1,0.2,10,false,true,0.716,0.0257554,0
250,1,0.2,10,false,true,0.715,0.0256159,0
250,1,0.2,10,false,true,0.709,0.0256891,0
250,1,0.2,10,false,true,0.689,0.0256281,0
300,1,0.2,10,false,true,0.85,0.0214718,0
300,1,0.2,10,false,true,0.841,0.0216959,0
300,1,0.2,10,false,true,0.812,0.022646,0
300,1,0.2,10,false,true,0.804,0.0228567,0
300,1,0.2,10,false,true,0.799,0.0230983,0
300,1,0.2,10,false,true,0.799,0.022709,0
300,1,0.2,10,false,true,0.796,0.023555,0
300,1,0.2,10,false,true,0.794,0.0232053,0
300,1,0.2,10,false,true,0.794,0.0232333,0
300,1,0.2,10,false,true,0.791,0.0230766,0
400,1,0.2,10,false,true,0.958,0.0153674,0
400,1,0.2,10,false,true,0.954,0.015903,0
400,1,0.2,10,false,true,0.951,0.0165238,0
400,1,0.2,10,false,true,0.947,0.0157592,0
400,1,0.2,10,false,true,0.945,0.0158703,0
400,1,0.2,10,false,true,0.943,0.0158408,0
400,1,0.2,10,false,true,0.943,0.0160228,0
400,1,0.2,10,false,true,0.942,0.0162636,0
400,1,0.2,10,false,true,0.941,0.0163903,0
400,1,0.2,10,false,true,0.94,0.0162139,0
,,,,,,0.245
,,,,,,0.407
,,,,,,0.601
,,,,,,0.792
,,,,,,0.842
,,,,,,0.89
,,,,,,0.967
